42,Bingo,25,28,pcs,,,Groceries,26,0,2025-11-11 18:41:26.000
43,Pasta pipe,38,49,pcs,,,Groceries,53,0,2025-11-11 18:22:22.000
44,Good Day biscuit,30,38,pcs,,,Groceries,71,0,2025-11-11 18:42:12.000
45,Vinegar sauce,182,230,ltr,"[""1ltr"",""500ml""]","{""1ltr"": 230.0, ""500ml"": 115.0}",Groceries,67,0,2025-11-11 18:42:00.000
46,Olive Oil bottle,48,61,ltr,"[""1ltr"",""750ml"",""500ml"",""250ml""]","{""1ltr"": 61.0, ""750ml"": 45.75, ""500ml"": 30.5, ""250ml"": 15.25}",Groceries,35,0,2025-11-11 18:51:37.000
47,Good Day,19,24,pcs,,,Groceries,57,0,2025-11-11 18:41:05.000
48,Besan,113,135,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 135.0, ""750gm"": 101.25, ""500gm"": 67.5, ""250gm"": 33.75}",Groceries,58,0,2025-11-11 18:13:35.000
49,Pasta,25,29,pcs,,,Groceries,80,0,2025-11-11 18:00:55.000
50,Munch,38,45,pcs,,,Groceries,58,0,2025-11-11 18:14:10.000
51,Milkshake,485,626,ltr,"[""1ltr"",""500ml""]","{""1ltr"": 626.0, ""500ml"": 313.0}",Dairy,50,0,2025-11-11 18:11:35.000
52,Rose Water alps,297,342,ltr,"[""1ltr"",""750ml"",""500ml"",""250ml""]","{""1ltr"": 342.0, ""750ml"": 256.5, ""500ml"": 171.0, ""250ml"": 85.5}",Groceries,55,0,2025-11-11 18:44:34.000
53,Poha barik,121,140,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 140.0, ""750gm"": 105.0, ""500gm"": 70.0, ""250gm"": 35.0}",Groceries,45,0,2025-11-11 18:03:26.000
54,5 Star choclate,10,12,pcs,,,Groceries,90,0,2025-11-11 18:18:34.000
55,Mustard Oil no 1,173,219,ltr,"[""1ltr"",""500ml""]","{""1ltr"": 219.0, ""500ml"": 109.5}",Groceries,35,0,2025-11-11 18:06:59.000
56,5 Star,21,25,pcs,,,Groceries,23,0,2025-11-11 18:21:10.000
57,Mustard Seeds no 1,170,206,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 206.0, ""750gm"": 154.5, ""500gm"": 103.0, ""250gm"": 51.5}",Groceries,43,0,2025-11-11 18:21:19.000
58,Soy Sauce 2,341,410,ltr,"[""1ltr"",""500ml""]","{""1ltr"": 410.0, ""500ml"": 205.0}",Groceries,56,0,2025-11-11 18:01:36.000
59,Moong Dal,396,484,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 484.0, ""750gm"": 363.0, ""500gm"": 242.0, ""250gm"": 121.0}",Groceries,33,0,2025-11-11 18:28:32.000
60,Walnuts 2,207,258,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 258.0, ""750gm"": 193.5, ""500gm"": 129.0, ""250gm"": 64.5}",Groceries,20,0,2025-11-11 18:17:23.000
61,Red Chilli Powder,247,280,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 280.0, ""750gm"": 210.0, ""500gm"": 140.0, ""250gm"": 70.0}",Groceries,70,0,2025-11-11 18:27:05.000
62,Maida,131,153,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 153.0, ""750gm"": 114.75, ""500gm"": 76.5, ""250gm"": 38.25}",Groceries,80,0,2025-11-11 18:40:45.000
63,Tur Dal premium,235,301,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 301.0, ""750gm"": 225.75, ""500gm"": 150.5, ""250gm"": 75.25}",Groceries,90,0,2025-11-11 18:45:54.000
64,Poha medium,160,183,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 183.0, ""750gm"": 137.25, ""500gm"": 91.5, ""250gm"": 45.75}",Groceries,26,0,2025-11-11 18:52:13.000
65,Tamarind,204,254,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 254.0, ""750gm"": 190.5, ""500gm"": 127.0, ""250gm"": 63.5}",Groceries,48,0,2025-11-11 18:31:07.000
66,Rajma no 1,198,257,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 257.0, ""750gm"": 192.75, ""500gm"": 128.5, ""250gm"": 64.25}",Groceries,29,0,2025-11-11 18:35:38.000
67,No 1  Rice,208,239,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 239.0, ""750gm"": 179.25, ""500gm"": 119.5, ""250gm"": 59.75}",Groceries,38,0,2025-11-11 18:29:47.000
68,Perk choclate,10,12,pcs,,,Groceries,20,0,2025-11-11 18:38:05.000
69,Chana Dal,141,172,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 172.0, ""750gm"": 129.0, ""500gm"": 86.0, ""250gm"": 43.0}",Groceries,57,0,2025-11-11 18:48:45.000
70,Groundnut Oil,292,326,ltr,"[""1ltr"",""500ml""]","{""1ltr"": 326.0, ""500ml"": 163.0}",Groceries,58,0,2025-11-11 18:34:14.000
71,Marie Gold biscuit,18,23,pcs,,,Groceries,48,0,2025-11-11 18:29:10.000
72,Mustard Oil,417,467,ltr,"[""1ltr"",""750ml"",""500ml"",""250ml""]","{""1ltr"": 467.0, ""750ml"": 350.25, ""500ml"": 233.5, ""250ml"": 116.75}",Groceries,38,0,2025-11-11 18:05:54.000
73,Ghee,129,149,ltr,"[""1ltr"",""750ml"",""500ml"",""250ml""]","{""1ltr"": 149.0, ""750ml"": 111.75, ""500ml"": 74.5, ""250ml"": 37.25}",Groceries,57,0,2025-11-11 18:48:31.000
74,Oreo Biscuits,30,33,pcs,,,Groceries,33,0,2025-11-11 18:21:44.000
75,Cumin Seeds,378,461,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 461.0, ""750gm"": 345.75, ""500gm"": 230.5, ""250gm"": 115.25}",Groceries,52,0,2025-11-11 18:30:07.000
76,Coriander Seeds no 1,256,317,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 317.0, ""750gm"": 237.75, ""500gm"": 158.5, ""250gm"": 79.25}",Groceries,66,0,2025-11-11 18:46:43.000
77,Sona Rice,276,308,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 308.0, ""750gm"": 231.0, ""500gm"": 154.0, ""250gm"": 77.0}",Groceries,92,0,2025-11-11 18:33:17.000
78,Perk,14,16,pcs,,,Groceries,62,0,2025-11-11 18:53:04.000
79,Dark Fantasy,28,32,pcs,,,Groceries,25,0,2025-11-11 18:04:10.000
80,Rose Water bottle,123,159,ltr,"[""1ltr"",""750ml"",""500ml"",""250ml""]","{""1ltr"": 159.0, ""750ml"": 119.25, ""500ml"": 79.5, ""250ml"": 39.75}",Groceries,40,0,2025-11-11 18:13:31.000
81,Marie Gold,23,29,pcs,,,Groceries,90,0,2025-11-11 18:29:30.000
82,Almonds no 1,146,175,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 175.0, ""750gm"": 131.25, ""500gm"": 87.5, ""250gm"": 43.75}",Groceries,20,0,2025-11-11 18:48:10.000
83,Mustard Seeds 2,488,576,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 576.0, ""750gm"": 432.0, ""500gm"": 288.0, ""250gm"": 144.0}",Groceries,25,0,2025-11-11 18:36:35.000
84,Chickpeas,451,497,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 497.0, ""750gm"": 372.75, ""500gm"": 248.5, ""250gm"": 124.25}",Groceries,75,0,2025-11-11 18:16:02.000
85,Rajma,124,155,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 155.0, ""750gm"": 116.25, ""500gm"": 77.5, ""250gm"": 38.75}",Groceries,58,0,2025-11-11 18:43:25.000
86,Buttermilk 2,124,156,ltr,"[""1ltr"",""500ml""]","{""1ltr"": 156.0, ""500ml"": 78.0}",Dairy,55,0,2025-11-11 18:31:41.000
87,Rose Water,289,373,ltr,"[""1ltr"",""500ml""]","{""1ltr"": 373.0, ""500ml"": 186.5}",Groceries,35,0,2025-11-11 18:24:56.000
88,Toothpaste,10,12,pcs,,,Groceries,20,0,2025-11-11 18:58:13.000
89,Vinegar bottle,332,393,ltr,"[""1ltr"",""500ml""]","{""1ltr"": 393.0, ""500ml"": 196.5}",Groceries,45,0,2025-11-11 18:46:46.000
90,Tur Dal eco,420,488,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 488.0, ""750gm"": 366.0, ""500gm"": 244.0, ""250gm"": 122.0}",Groceries,40,0,2025-11-11 18:38:44.000
91,Wheat Flour,424,541,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 541.0, ""750gm"": 405.75, ""500gm"": 270.5, ""250gm"": 135.25}",Groceries,20,0,2025-11-11 18:13:01.000
92,Sunflower Oil,245,297,ltr,"[""1ltr"",""500ml""]","{""1ltr"": 297.0, ""500ml"": 148.5}",Groceries,55,0,2025-11-11 18:30:48.000
93,Soy Sauce,451,544,ltr,"[""1ltr"",""500ml""]","{""1ltr"": 544.0, ""500ml"": 272.0}",Groceries,40,0,2025-11-11 18:09:36.000
94,Walnuts,126,154,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 154.0, ""750gm"": 115.5, ""500gm"": 77.0, ""250gm"": 38.5}",Groceries,20,0,2025-11-11 18:53:59.000
95,Buttermilk,188,235,ltr,"[""1ltr"",""750ml"",""500ml"",""250ml""]","{""1ltr"": 235.0, ""750ml"": 176.25, ""500ml"": 117.5, ""250ml"": 58.75}",Dairy,20,0,2025-11-11 18:56:25.000
96,Olive Oil,392,452,ltr,"[""1ltr"",""500ml""]","{""1ltr"": 452.0, ""500ml"": 226.0}",Groceries,50,0,2025-11-11 18:14:39.000
97,KitKat,13,16,pcs,,,Groceries,64,0,2025-11-11 18:20:40.000
98,Pistachios,312,399,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 399.0, ""750gm"": 299.25, ""500gm"": 199.5, ""250gm"": 99.75}",Groceries,50,0,2025-11-11 18:29:48.000
99,Turmeric Powder 1,163,207,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 207.0, ""750gm"": 155.25, ""500gm"": 103.5, ""250gm"": 51.75}",Groceries,40,0,2025-11-11 18:07:19.000
100,Almonds 2,171,199,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 199.0, ""750gm"": 149.25, ""500gm"": 99.5, ""250gm"": 49.75}",Groceries,30,0,2025-11-11 18:41:53.000
101,Dishwash Bar,25,28,pcs,,,Groceries,18,0,2025-11-11 18:07:15.000
102,Head and shoulder Shampoo,28,34,pcs,,,Groceries,50,0,2025-11-11 18:56:48.000
103,Raisins,114,146,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 146.0, ""750gm"": 109.5, ""500gm"": 73.0, ""250gm"": 36.5}",Groceries,90,0,2025-11-11 18:49:35.000
104,Shampoo,17,21,pcs,,,Groceries,20,0,2025-11-11 18:04:28.000
